Country Code,GDP,Population,medal
AFG,641.8714792,31161376,1
ARG,13082.66433,41733271,20
ARM,3681.857456,2884229,2
AUS,68012.1479,22733465,114
AZE,7496.294648,9295784,10
BLR,6940.159254,9464495,21
BEL,44673.11588,11106932,3
BRA,12370.0242,199287296,59
BRN,47740.5149,398989,1
CMR,1354.545613,21485266,1
CAN,52678.39012,34714222,57
CHN,6316.918863,1350695000,128
COL,8050.058414,46076848,8
CUB,6497.321113,11257101,15
CYP,28912.15694,1135046,1
CZE,19729.87051,10510785,15
DOM,6110.369652,9930911,2
EGY,3232.648892,86422240,4
EST,17534.42154,1322696,2
ETH,467.0779272,92726971,7
FIN,47710.79022,5413971,5
FRA,40874.70351,65659809,82
GAB,9813.477703,1749682,1
GEO,4421.818242,3728874,7
HKG,36730.8767,7150100,1
HUN,12918.24752,9920362,26
IND,1443.879529,1265782790,6
IRL,48917.89756,4599533,6
ITA,35053.52624,59539717,68
JAM,5209.851931,2842132,25
JPN,48603.47665,127629000,84
KAZ,12386.7,16792089,10
KEN,1136.871406,44343410,12
PRK,,24800612,6
KOR,25466.76052,50199853,63
LTU,14339.28787,2987773,5
MEX,10241.72792,117274155,26
MNE,6586.721279,620601,14
MAR,2912.658275,33241898,1
NZL,39982.7543,4408100,26
NOR,101524.1419,5018573,17
POL,13145.53926,38063164,12
QAT,85076.14793,2196074,2
ROU,8535.046876,20058035,16
RUS,15420.87454,143201721,130
SRB,6015.945228,7199077,16
SGP,55546.48854,5312437,4
SVK,17460.04681,5407579,5
ESP,28324.42934,46773055,65
SWE,58037.82132,9519374,23
TJK,969.2964731,7874835,1
THA,5860.582507,67835957,4
TTO,19157.41704,1344817,10
TUN,4152.678587,10847002,3
TUR,11707.25971,74653016,4
UGA,783.717921,34559168,1
UKR,3855.417729,45593342,25
GBR,42462.77157,63700215,126
USA,51610.60528,313830990,250
UZB,2137.025122,29774500,3
VEN,12985.50533,29362449,1
